bp_rp,g_rp,bp_g,g_abs_mag,teff_val,j_h,h_k,label
1.5739107131958008,0.8582239151000977,0.7156867980957031,-6.189494285700196,4186.27001953125,0.800999641418457,0.21000003814697266,1
2.236027240753174,1.0801315307617188,1.155895709991455,-1.3707543364034365,3750.673095703125,0.8600001335144043,0.23000001907348633,1
2.0317516326904297,1.039933204650879,0.9918184280395508,-9.572917310903037,3898.009765625,0.9000005722045898,0.2349996566772461,1
1.3872652053833008,0.8042478561401367,0.5830173492431641,-0.7654361330152071,4621.13330078125,0.8730001449584961,0.5520000457763672,1
1.8074169158935547,0.9339561462402344,0.8734607696533203,-2.339037068822943,3942.13671875,0.8499994277954102,0.18800067901611328,1
2.0245180130004883,1.000441551208496,1.0240764617919922,-3.160630816151926,4062.530029296875,0.8409996032714844,0.22100067138671875,1
2.5333118438720703,1.1948232650756836,1.3384885787963867,-1.9670178860594945,3926.64501953125,0.9149999618530273,0.33900022506713867,1
1.2403974533081055,0.7265958786010742,0.5138015747070312,0.4774178677698053,4953.5,0.6259994506835938,0.4650001525878906,1
1.5696525573730469,0.8265285491943359,0.7431240081787109,-2.74869976249947,4298.58984375,0.702000617980957,0.18799972534179688,1
1.6998119354248047,0.9280815124511719,0.7717304229736328,-3.0269565612003433,4231.0,0.8229999542236328,0.2569999694824219,1
2.406658172607422,1.1455535888671875,1.2611045837402344,-4.428238424601005,3823.536376953125,0.8899993896484375,0.31599998474121094,1
3.5249667167663574,1.0572915077209473,2.46767520904541,-2.4453296926080235,3451.0,1.010000228881836,0.8899998664855957,1
2.4926466941833496,1.1552047729492188,1.3374419212341309,-2.0911641134148837,3650.0,0.8999998569488525,0.23000001907348633,1
2.0011701583862305,1.0266504287719727,0.9745197296142578,-1.0494158199702284,3786.5224609375,1.5380001068115234,1.3030004501342773,1
1.7450532913208008,0.9179534912109375,0.8270998001098633,-2.4970381296414956,4269.0,0.8249998092651367,0.3819999694824219,1
0.9288825988769531,0.6156845092773438,0.3131980895996094,-2.2039154996552313,5171.63330078125,1.7279996871948242,1.3580007553100586,1
2.008467674255371,1.124424934387207,0.8840427398681641,-0.953936441814772,3539.0,1.003000259399414,0.32199954986572266,1
3.413898468017578,1.4516124725341797,1.9622859954833984,2.783254808907813,3754.739990234375,1.4159998893737793,1.9809999465942383,1
2.6099605560302734,1.5818462371826172,1.0281143188476562,-7.834065942100743,3665.333251953125,0.9659996032714844,0.5320000648498535,1
0.8565492630004883,0.518010139465332,0.33853912353515625,-0.2343889254210758,5581.669921875,0.3210000991821289,0.21899986267089844,1
2.706423759460449,1.3336706161499023,1.3727531433105469,0.524279774988397,3850.85498046875,1.3969998359680176,1.441999912261963,1
1.6494455337524414,0.5677480697631836,1.0816974639892578,-3.006768853548124,3858.0,1.254000186920166,0.9219999313354492,1
4.5263519287109375,1.4949054718017578,3.0314464569091797,0.7689463126451219,3291.333251953125,1.0440001487731934,0.3269999027252197,1
3.0172548294067383,1.2749309539794922,1.742323875427246,-1.897358311808734,3533.23486328125,0.9270000457763672,0.4010000228881836,1
2.0614404678344727,1.0688447952270508,0.9925956726074219,-2.036282806886266,3978.16015625,1.1430001258850098,1.122999668121338,1
3.4273767471313477,1.3374090194702148,2.089967727661133,-0.16826152467711353,3306.0,1.0629997253417969,0.39800024032592773,1
1.372518539428711,0.7896556854248047,0.5828628540039062,-2.576707348901863,4763.5947265625,0.889000415802002,0.3359999656677246,1
3.177103042602539,1.4339752197265625,1.7431278228759766,-0.5701487684616424,3862.020263671875,1.6449995040893555,0.8880000114440918,1
2.6078739166259766,1.2800960540771484,1.3277778625488281,-1.100341519282754,3816.034912109375,1.00600004196167,0.43200016021728516,1
2.0525197982788086,1.1734514236450195,0.8790683746337891,1.7845076895846184,4052.427490234375,1.9169998168945312,1.5149998664855957,1
3.5462846755981445,1.3789386749267578,2.1673460006713867,0.6588649072601918,3666.0,1.053999900817871,0.4720001220703125,1
1.8267908096313477,0.9399423599243164,0.8868484497070312,3.7417065191197416,3940.75,0.7309999465942383,0.17599964141845703,1
2.564006805419922,1.183603286743164,1.3804035186767578,-2.8964770799211017,4018.853515625,1.0089998245239258,0.332000732421875,1
1.6386775970458984,0.9394426345825195,0.6992349624633789,-2.590518454769068,4334.66650390625,1.694000244140625,1.4439992904663086,1
0.7838821411132812,0.6551780700683594,0.12870407104492188,0.524898882462125,5286.89990234375,2.0480003356933594,1.811999797821045,1
0.8183679580688477,0.7441482543945312,0.0742197036743164,0.4975535794699404,5286.89990234375,1.8279995918273926,1.620999813079834,1
2.505046844482422,1.2121648788452148,1.292881965637207,-4.612639367080288,3812.054931640625,0.9310007095336914,0.3189997673034668,1
1.6598901748657227,0.9624671936035156,0.697422981262207,-3.4490864047528866,4304.75,0.0,0.0,1
2.290888786315918,1.1047210693359375,1.1861677169799805,-1.084464196605385,3985.389892578125,0.8449997901916504,0.34200000762939453,1
1.6156511306762695,0.8672313690185547,0.7484197616577148,-3.1628503710792657,4075.6533203125,0.7890000343322754,0.15599966049194336,1
5.770524978637695,1.6258659362792969,4.144659042358398,-0.17162698807976184,3284.333251953125,1.384000301361084,0.8680000305175781,1
1.984506607055664,0.9826021194458008,1.0019044876098633,-1.9101085852951378,3799.5,0.8810005187988281,0.26999950408935547,1
2.078990936279297,1.0574560165405273,1.0215349197387695,-5.587133478200226,3659.0,0.9930000305175781,0.42100048065185547,1
2.2324047088623047,1.1544914245605469,1.0779132843017578,-5.542164037678518,3571.0,0.9559993743896484,0.38700056076049805,1
