bp_rp,g_rp,bp_g,g_abs_mag,teff_val,j_h,h_k,b_v,label
5.9529046999999995,1.7666683,4.1862364,-1.0848077196140764,3280.25,1.3470001220703125,1.190999984741211,1.3600006103515625,1
5.770525,1.6258659,4.144659,-0.17162698807976184,3284.3333,1.384000301361084,0.8680000305175781,0.0,1
5.4684715,1.6108141000000002,3.8576574,5.80358206995871,3284.6667,1.6510000228881836,1.3880000114440918,0.0,1
5.0366583,1.7351217,3.3015366000000004,4.379214598787724,3288.3333,1.4090003967285156,0.7540001869201659,0.0,1
4.959901,1.5968618,3.363039,1.2238538557540402,3318.6667,1.3619999885559082,0.5719995498657227,0.0,1
4.665521599999999,1.5553551,3.1101665,0.30732894107976705,3316.0,1.258000373840332,0.6069998741149902,0.0,1
4.663043,1.4986868,3.1643562000000003,1.5529379451995808,3296.6667,1.1309995651245115,0.4739999771118164,2.7100000381469727,1
4.526351999999999,1.4949055,3.0314465,0.7689463126451219,3291.3333,1.0440001487731934,0.3269999027252197,0.0,1
4.221444,1.5164833,2.7049608,-3.1874915300230526,3353.75,1.2110004425048828,0.5799999237060547,0.0,1
4.07115,1.4948015,2.5763483,0.2723559896431098,3349.0,1.1079998016357422,0.5659999847412109,0.0,1
3.9509114999999997,1.425065,2.5258465,0.02757212052594582,3290.0,1.2730002403259275,0.4879999160766602,0.0,1
3.950861,1.9009581000000002,2.049903,-2.6156065245273297,3798.365,0.9320006370544434,0.4210000038146973,0.0,1
3.9182086000000003,1.3911576,2.5270509999999997,-0.594204304546297,3709.0,1.1099999845027924,0.3499999940395355,1.6900005340576172,1
3.9171734,1.4135065,2.5036669,-2.4212941888320363,3307.0,1.1379995346069336,0.43900012969970703,0.0,1
3.8458547999999997,1.416851,2.4290037,-0.2205549320990912,3335.0,1.1540002822875977,0.4560003280639648,0.0,1
3.7835302000000004,1.5652466,2.2182837,0.5139228923675425,3407.6667,1.3970003128051758,0.7189998626708984,2.3800010681152344,1
3.745861,1.4125223,2.3333387,0.5794007302168787,3348.0,1.0489993095397951,0.4630002975463867,0.0,1
3.684678,1.4215288000000001,2.2631493,2.6752402548698337,3709.0,1.2770004272460938,0.4889998435974121,2.270000457763672,1
3.6812544000000003,1.4233551000000002,2.2578993,0.987964531251052,3749.615,1.1289997100830078,0.5729999542236328,0.0,1
3.6231174,1.3862333,2.236884,2.6329706590898247,3682.545,1.1449995040893557,0.4409999847412109,0.0,1
